orb_radius,period
0.032,2.024152
0.057,4.761702
0.242,41.809118
0.127,16.007583
0.18100000000000002,27.082511
0.066,5.885273000000001
0.094,10.104664999999999
0.2,31.158799
0.364,76.732171
0.113,12.610584
0.21600000000000003,33.416422999999995
0.027999999999999997,1.729366
0.05,4.180043
0.184,29.198943
0.281,55.328328000000006
0.5710000000000001,160.018032
0.05714,4.942782
0.044000000000000004,3.428054
0.073,7.381997999999999
0.10400000000000001,12.56093
0.18899999999999997,30.826557
1.24,637.2093
0.11599999999999999,15.228957999999999
0.16,24.674612
0.124,18.207973000000003
0.35600000000000004,88.255055
0.129,18.870227
0.237,46.90232
0.198,33.040532
0.303,62.303276000000004
0.055999999999999994,5.9311940000000005
0.242,52.661793
0.054000000000000006,4.973456
0.11699999999999999,15.906801000000002
0.027999999999999997,1.7323419999999998
0.11,13.5405
0.111,16.709184
0.158,28.551383
0.08199999999999999,10.139623
0.218,43.595791999999996
0.7048,228.77599999999998
0.05,4.3094269999999995
0.109,13.699086999999999
0.054000000000000006,4.921355
0.068,7.06424
0.069,6.919797999999999
0.13699999999999998,19.446355
0.078,7.810936999999999
0.152,21.347262
0.057999999999999996,5.03503
0.09699999999999999,10.945723
0.187,28.986769
2.7205,1107.5923
0.0514,8.68909
0.07200000000000001,8.180848
0.11,15.31299
0.1654,38.09722
0.4706,140.2524
2.026,1047.8356
0.10300000000000001,11.8728787
0.19699999999999998,31.578659000000002
0.07200000000000001,7.650253999999999
0.195,34.260281
0.0483,4.393163200000001
0.0684,7.406114
0.1405,21.803855
1.89,1071.2322800000002
0.055999999999999994,4.425391
0.11599999999999999,13.193242000000001
0.04,3.250619
0.062,6.195469
0.075,8.348125
0.105,13.767102
0.359,87.090195
0.02591,1.4857108
0.08,7.930592
0.131,16.665863
0.05,4.166972
0.098,11.463462
0.223,39.595519
0.04,2.940309
0.068,6.388996
0.11800000000000001,14.627119
0.21100000000000002,35.118736
0.048,4.263742
0.07400000000000001,8.005777
0.1,13.98179
0.214,44.000529
0.677,247.35372999999998
0.105,11.903514999999999
0.213,34.035257
0.057999999999999996,5.4330739999999995
0.102,12.759712
0.163,25.751974
0.085,9.576694
0.142,20.552802
0.397,96.678988
0.036000000000000004,2.7359259999999996
0.064,6.40013
0.0447,3.504725
0.0752,7.641589999999999
0.1172,14.85888
0.109,13.817124
0.22899999999999998,41.885775
0.04,3.137873
0.049,4.302149
0.096,9.825792
0.157,20.684342
0.064,5.687945
0.10300000000000001,11.637071
0.092,10.687576
0.141,20.303005
0.179,29.022358
0.026000000000000002,1.6329
0.139,20.729042
0.0343,3.8867906999999997
0.0451,7.267302000000001
0.0781,13.342996
0.11,22.407704000000003
0.43200000000000005,129.9441
0.059000000000000004,4.938864
0.099,10.640263000000001
0.032,2.061897
0.066,5.996553
0.08800000000000001,10.399931
0.13699999999999998,20.134866
0.03,2.0199990000000003
0.045,3.7630239999999997
